Logement,Name,Type,Surface,Price,Lieu,Chambres,Pièces,Etage
Logement en résidence,Cardinal Campus The Place,T2 de 34m² à 36m²,34-36 m²,1280€,"19-21 Rue Emile Duclaux, Suresnes, France",N/A,N/A,N/A
Logement en résidence,Cardinal Campus The Place,Chambre en T3 (colocation) de 12m² à 15m²,12-15 m²,"entre
860€
et
880€","19-21 Rue Emile Duclaux, Suresnes, France",N/A,N/A,N/A
Logement en résidence,Cardinal Campus The Place,Studio PMR de 18m² à 25m²,18-25 m²,"entre
895€
et
915€","19-21 Rue Emile Duclaux, Suresnes, France",N/A,N/A,N/A
Logement en résidence,Cardinal Campus The Place,Studio de 16m² à 25m²,16-25 m²,"entre
880€
et
945€","19-21 Rue Emile Duclaux, Suresnes, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Pantin,Petit Studio de 17m² à 18m²,17-18 m²,850€,"192 Avenue Jean Jaurès, Pantin, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Pantin,T1 de 22m²,22 m²,899€,"192 Avenue Jean Jaurès, Pantin, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Pantin,Studio de 19m²,19 m²,870€,"192 Avenue Jean Jaurès, Pantin, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Pantin,T1 Bis de 28m²,28 m²,970€,"192 Avenue Jean Jaurès, Pantin, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Pantin,T2 de 32m²,32 m²,1050€,"192 Avenue Jean Jaurès, Pantin, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Pantin,T3 de 47m²,47 m²,1250€,"192 Avenue Jean Jaurès, Pantin, France",N/A,N/A,N/A
Logement en résidence,UXCO Streamline,Studio de 18m²,18 m²,"entre
1035€
et
1050€","73 Rue de Sevres, 92100 Boulogne-Billancourt, France",N/A,N/A,N/A
Logement en résidence,UXCO Streamline,T1 de 27m²,27 m²,"entre
1105€
et
1150€","73 Rue de Sevres, 92100 Boulogne-Billancourt, France",N/A,N/A,N/A
