Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal,Arrondissement
Appartement à louer - Première occupation,71.0,3540,"Muette Sud, Paris 16ème (75016)",2.0,3.0,,75016,16.0
Appartement à louer,47.0,1605,"Auteuil Nord, Paris 16ème (75016)",1.0,2.0,2.0,75016,16.0
Appartement à louer,37.6,2150,"Saint Philippe du Roule, Paris 8ème (75008)",1.0,2.0,1.0,75008,8.0
Appartement à louer,42.0,1540,"Georges Brassens, Paris 15ème (75015)",1.0,2.0,4.0,75015,15.0
Appartement à louer,263.0,22000,"Gros Caillou, Paris 7ème (75007)",5.0,8.0,,75007,7.0
Appartement à louer,31.0,1119,"Père Lachaise-Réunion, Paris 20ème (75020)",0.0,1.0,1.0,75020,20.0
Appartement à louer,180.0,7490,"Muette Nord, Paris 16ème (75016)",3.0,5.0,,75016,16.0
Appartement à louer,180.0,7490,"Muette Nord, Paris 16ème (75016)",3.0,5.0,,75016,16.0
Appartement à louer,31.0,1143,"Belleville-Saint Maur, Paris 11ème (75011)",0.0,1.0,5.0,75011,11.0
Appartement à louer,81.0,3450,"Emeriau-Zola, Paris 15ème (75015)",2.0,3.0,7.0,75015,15.0
Appartement à louer,112.0,6800,"Enfants Rouges, Paris 3ème (75003)",2.0,4.0,,75003,3.0
Maison à louer,246.0,18500,"Porte Dauphine, Paris 16ème (75116)",5.0,9.0,,75116,16.0
Péniche à louer,65.0,2800,"Seine et Berges, Paris 15ème (75015)",1.0,2.0,,75015,15.0
Appartement à louer,129.0,5480,"Muette Sud, Paris 16ème (75016)",3.0,5.0,,75016,16.0
Appartement à louer,37.0,2400,Paris 8ème (75008),1.0,2.0,5.0,75008,8.0
Appartement à louer,97.0,3600,"Courcelles-Wagram, Paris 17ème (75017)",2.0,4.0,6.0,75017,17.0
Appartement à louer,53.0,3500,Paris 18ème (75018),2.0,3.0,3.0,75018,18.0
Appartement à louer,61.0,1850,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",1.0,2.0,3.0,75018,18.0
Appartement à louer - Première occupation,55.0,1690,"Pernety, Paris 14ème (75014)",1.0,2.0,,75014,14.0
Appartement à louer,30.0,1900,"Saint Philippe du Roule, Paris 8ème (75008)",0.0,1.0,6.0,75008,8.0
Appartement à louer,223.0,7800,"Champerret-Berthier, Paris 17ème (75017)",5.0,6.0,,75017,17.0
Appartement à louer,50.0,1675,Paris 13ème (75013),1.0,2.0,3.0,75013,13.0
Appartement à louer,57.0,1618,"Danube-Porte des Lilas, Paris 19ème (75019)",2.0,3.0,9.0,75019,19.0
Appartement à louer,44.0,2900,"Arsenal, Paris 4ème (75004)",1.0,2.0,1.0,75004,4.0
Duplex à louer,246.0,18500,"Porte Dauphine, Paris 16ème (75116)",5.0,9.0,,75116,16.0
Appartement à louer,42.0,1540,Paris 20ème (75020),1.0,2.0,1.0,75020,20.0
Appartement à louer,72.7,3050,"Emeriau-Zola, Paris 15ème (75015)",2.0,3.0,6.0,75015,15.0
Appartement à louer,75.0,3500,"Porte Dauphine, Paris 16ème (75016)",1.0,3.0,4.0,75016,16.0
