Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal
Appartement à louer,17.8,850,"Trudaine-Maubeuge, Paris 9ème (75009)",1.0,2.0,3,75009
Appartement à louer,70.0,1110,"Europe, Paris 8ème (75008)",4.0,4.0,5,75008
Appartement à louer,11.0,1100,"Champerret-Berthier, Paris (75017)",0.0,1.0,1,75017
Appartement à louer,29.0,1045,"Goutte d'Or-Château Rouge, Paris 18ème (75018)",1.0,2.0,1,75018
Studio à louer,13.0,826,"Pereire-Malesherbes, Paris 17ème (75017)",4.0,5.0,5,75017
Appartement à louer,32.6,1195,"Bercy, Paris 12ème (75012)",1.0,2.0,4,75012
Appartement à louer,37.3,1063,"Louis Blanc-Aqueduc, Paris 10ème (75010)",1.0,2.0,1,75010
Appartement à louer,37.0,1162,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",1.0,1.0,4,75015
Appartement à louer,22.0,1030,"Bercy, Paris 12ème (75012)",0.0,1.0,5,75012
Appartement à louer,18.3,757,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",0.0,1.0,1,75018
Appartement à louer,150.0,1010,"Violet Commerce, Paris 15ème (75015)",7.0,7.0,1,75015
Appartement à louer,15.0,1150,"Faubourg du Temple-Hôpital Saint Louis, Paris 10ème (75010)",0.0,1.0,1,75010
Studio à louer,14.0,800,"Bièvres Sud Tolbiac, Paris 13ème (75013)",0.0,1.0,2,75013
Appartement à louer,90.0,1135,"Pasteur Montparnasse, Paris 15ème (75015)",4.0,4.0,1,75015
Appartement à louer,110.0,1085,"Clichy-Batignolles, Paris 17ème (75017)",5.0,5.0,3,75017
Appartement à louer,26.0,950,"Père Lachaise-Réunion, Paris 20ème (75020)",0.0,1.0,7,75020
Appartement à louer,22.0,1145,"Bièvres Sud Tolbiac, Paris (75013)",0.0,1.0,2,75013
Appartement à louer,90.0,1145,"Champerret-Berthier, Paris 17ème (75017)",4.0,4.0,5,75017
Appartement à louer,29.4,1140,"Dunois-Bibliothèque-Jeanne-d'Arc, Paris 13ème (75013)",0.0,1.0,4,75013
Appartement à louer - Première occupation,32.2,1150,"Jardin de Reuilly, Paris 12ème (75012)",1.0,1.0,3,75012
Appartement à louer,19.0,1026,"Télégraphe-Pelleport Saint Fargeau, Paris 20ème (75020)",1.0,2.0,6,75020
Appartement à louer,13.0,706,"Courcelles-Wagram, Paris 17ème (75017)",0.0,1.0,1,75017
Appartement à louer - Première occupation,23.0,1200,"Legendre-Lévis, Paris 17ème (75017)",0.0,1.0,4,75017
Appartement à louer,100.0,960,"Bassin de la Villette, Paris 19ème (75019)",5.0,5.0,5,75019
Appartement à louer,80.0,960,"Manin-Jaurès, Paris 19ème (75019)",5.0,4.0,3,75019
Appartement à louer,90.0,1155,"Clichy-Batignolles, Paris 17ème (75017)",8.0,4.0,7,75017
Appartement à louer,28.0,1150,"République-Saint Ambroise, Paris 11ème (75011)",1.0,2.0,6,75011
Appartement à louer,22.0,1129,"Saint Gervais, Paris 4ème (75004)",0.0,1.0,3,75004
Appartement à louer,22.8,909,"Salpêtrière-Austerlitz, Paris 13ème (75013)",0.0,1.0,4,75013
Appartement à louer,13.5,800,"Belleville, Paris 20ème (75020)",0.0,1.0,3,75020
Appartement à louer,16.0,920,"Alleray Procession, Paris 15ème (75015)",0.0,1.0,4,75015
Appartement à louer,15.6,1100,"Sainte Avoie, Paris 3ème (75003)",0.0,1.0,4,75003
Appartement à louer,60.0,920,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",3.0,3.0,2,75018
Appartement à louer,27.0,1150,"La Fourche-Guy Môquet, Paris 17ème (75017)",1.0,2.0,2,75017
Appartement à louer,29.0,1147,"Courcelles-Wagram, Paris 17ème (75017)",0.0,1.0,6,75017
Appartement à louer,22.0,917,"Champerret-Berthier, Paris 17ème (75017)",0.0,1.0,6,75017
Appartement à louer,90.0,1045,"Auteuil Sud, Paris 16ème (75016)",4.0,4.0,1,75016
Appartement à louer,90.0,1080,"Auteuil Sud, Paris 16ème (75016)",4.0,4.0,1,75016
Appartement à louer,70.0,1000,"Saint Blaise, Paris 20ème (75020)",4.0,3.0,1,75020
Appartement à louer,90.0,1050,"Louis Blanc-Aqueduc, Paris 10ème (75010)",5.0,4.0,1,75010
Appartement à louer,90.0,1095,"Georges Brassens, Paris 15ème (75015)",4.0,4.0,3,75015
Appartement à louer,120.0,1040,"La Fourche-Guy Môquet, Paris 17ème (75017)",4.0,4.0,1,75017
Appartement à louer,80.0,1035,"Auteuil Sud, Paris 16ème (75016)",4.0,4.0,6,75016
Appartement à louer - Première occupation,40.8,1043,"Buttes Chaumont, Paris 19ème (75019)",1.0,2.0,5,75019
Appartement à louer,25.0,1080,"Belleville, Paris (75020)",0.0,1.0,5,75020
Appartement à louer,70.0,970,"Europe, Paris 8ème (75008)",4.0,4.0,5,75008
Appartement à louer,17.4,770,"Ternes-Maillot, Paris 17ème (75017)",0.0,1.0,23,75017
Appartement à louer,30.1,1025,"Bel-Air Nord, Paris 12ème (75012)",1.0,2.0,4,75012
Appartement à louer,16.0,610,"Auteuil Nord, Paris 16ème (75016)",0.0,1.0,7,75016
Appartement à louer,22.7,1129,"Saint Gervais, Paris 4ème (75004)",0.0,1.0,4,75004
Appartement à louer,23.0,995,"Télégraphe-Pelleport Saint Fargeau, Paris 20ème (75020)",1.0,2.0,4,75020
Appartement à louer,22.0,1048,"Grandes Carrières-Clichy, Paris 18ème (75018)",1.0,2.0,6,75018
Appartement à louer,22.0,1048,"Grandes Carrières-Clichy, Paris 18ème (75018)",1.0,2.0,6,75018
Appartement à louer,33.0,1200,"Amandiers, Paris (75020)",1.0,2.0,6,75020
Appartement à louer,31.3,1200,"Georges Brassens, Paris 15ème (75015)",1.0,2.0,5,75015
Appartement à louer,27.0,1180,"Nation-Picpus, Paris 12ème (75012)",1.0,2.0,3,75012
Appartement à louer,36.0,1187,"Nation-Picpus, Paris 12ème (75012)",1.0,2.0,2,75012
Appartement à louer,12.5,945,"Père Lachaise-Réunion, Paris 20ème (75020)",3.0,4.0,4,75020
Appartement à louer,19.6,970,"Bièvres Sud Tolbiac, Paris 13ème (75013)",0.0,1.0,6,75013
Appartement à louer,41.6,1150,"Mairie, Paris 8ème (75008)",0.0,1.0,5,75008
Appartement à louer,26.7,1090,"Moskowa-Porte Montmartre-Porte de Clignancourt, Paris 18ème (75018)",0.0,1.0,5,75018
Appartement à louer,20.0,1150,"Monnaie, Paris 6ème (75006)",0.0,1.0,2,75006
Appartement à louer,28.0,1049,"Goutte d'Or-Château Rouge, Paris (75018)",0.0,1.0,1,75018
Appartement à louer,34.0,1090,"Invalides, Paris (75007)",0.0,1.0,6,75007
Appartement à louer,21.0,939,"Belleville-Saint Maur, Paris 11ème (75011)",0.0,1.0,6,75011
Appartement à louer,50.0,1110,"Trudaine-Maubeuge, Paris 9ème (75009)",3.0,3.0,2,75009
Appartement à louer,16.5,1200,"Goutte d'Or-Château Rouge, Paris 18ème (75018)",0.0,1.0,3,75018
Appartement à louer,89.0,900,"Danube-Porte des Lilas, Paris (75019)",3.0,4.0,1,75019
Appartement à louer,31.5,1125,"Gambetta, Paris 20ème (75020)",1.0,2.0,1,75020
Appartement à louer,26.0,1200,"Grandes Carrières-Clichy, Paris (75018)",1.0,2.0,3,75018
Appartement à louer,23.3,916,"Trudaine-Maubeuge, Paris 9ème (75009)",0.0,1.0,2,75009
Appartement à louer,16.2,1190,"Monnaie, Paris 6ème (75006)",0.0,1.0,1,75006
Appartement à louer,29.0,1000,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",1.0,2.0,6,75018
Appartement à louer,50.0,1125,"Trudaine-Maubeuge, Paris 9ème (75009)",3.0,3.0,2,75009
Appartement à louer,24.0,965,"Montmartre, Paris 18ème (75018)",0.0,1.0,4,75018
Appartement à louer,11.0,680,"Dunois-Bibliothèque-Jeanne-d'Arc, Paris (75013)",0.0,1.0,5,75013
Appartement à louer,11.0,1100,"Batignolles-Cardinet, Paris 17ème (75017)",1.0,1.0,6,75017
Appartement à louer,31.4,1115,"Courcelles-Wagram, Paris 17ème (75017)",1.0,2.0,5,75017
Appartement à louer,33.0,1136,"Aligre-Gare de Lyon, Paris (75012)",0.0,1.0,23,75012
